Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Saint Vincent and the Grenadines, 386 , 74 , 24 , 281 , D , D , 4 
Samoa, 189 , D , - , 181 , - , - , D 
Saudi Arabia," 2,108 ", 283 , 335 , 926 , 440 , 121 , 3 
Senegal," 1,272 ", 125 , 58 , 843 , 101 , 101 , 44 
Serbia," 1,284 ", 94 , 112 , 829 , 221 , D , D 
Serbia and Montenegro (former), 186 , D , 23 , 115 , - , 42 , D 
Seychelles, 11 , - , - , D , D , D , - 
Sierra Leone," 1,492 ", 114 , 38 , 852 , 401 , 80 , 7 
Singapore," 1,684 ", 108 ," 1,145 ", 384 , 32 , 11 , 4 
Sint Maarten, 58 , D , D , 38 , - , - , - 
Slovakia, 542 , 10 , 79 , 248 , 38 , 163 , 4 
Slovenia, 98 , - , 28 , 66 , D , - , D 
Somalia, 518 , 11 , D , 231 , 12 , 261 , D 
South Africa," 3,298 ", 93 , 762 ," 1,327 ", 345 , 757 , 14 
South Sudan, 71 , D , D , 47 , D , 11 , - 
Soviet Union (former), 547 , 8 , 6 , 487 , D , 39 , D 
Spain," 3,707 ", 214 ," 1,188 "," 1,465 ", 190 , 643 , 7 
Sri Lanka," 1,530 ", 198 , 382 , 522 , 223 , 195 , 10 
Sudan," 1,623 ", 86 , 11 , 461 , 769 , 293 , 3 
Suriname, 116 , 24 , D , 87 , - , - , D 
Swaziland, 26 , D , D , 18 , D , D , - 
Sweden," 1,194 ", 53 , 418 , 631 , 69 , 14 , 9 
Switzerland," 1,007 ", 23 , 540 , 368 , 54 , 16 , 6 
Syria," 5,459 ", 660 , 223 ," 1,164 ", 58 ," 3,349 ", 5 
Taiwan," 4,814 ", 701 ," 2,003 "," 1,950 ", 142 , D , D 
Tajikistan, 523 , 20 , 34 , 170 , 238 , 61 , - 
Tanzania, 942 , 49 , D , 404 , 45 , 401 , D 
Thailand," 12,093 ", 297 , 369 ," 3,244 ", 28 ," 8,029 ", 126 
Togo," 1,491 ", 151 , 12 , 675 , 518 , 123 , 12 
Tonga, 317 , 100 , D , 204 , D , - , - 
Trinidad and Tobago," 3,208 ", 649 , 250 ," 2,204 ", 53 , 10 , 42 
Tunisia," 1,375 ", 19 , 37 , 341 , 37 , 933 , 8 
Turkey," 8,762 ", 239 , 992 ," 1,721 "," 1,091 "," 4,696 ", 23 
Turkmenistan, 179 , D , 12 , 58 , 76 , 24 , D 
Turks and Caicos Islands, 47 , 5 , D , 38 , - , D , 1 
Uganda," 3,199 ", 115 , 121 , 758 , 192 ," 2,009 ", 4 
Ukraine," 7,809 ", 784 , 726 ," 4,535 "," 1,226 ", 509 , 29 
United Arab Emirates," 2,714 ", 432 , 589 , 725 , 353 , 576 , 39 
United Kingdom," 14,653 ", 813 ," 6,589 "," 6,941 ", 230 , 28 , 52 
Uruguay," 1,023 ", 31 , 89 , 812 , 6 , 47 , 38 
Uzbekistan," 3,675 ", 362 , 83 , 750 ," 2,254 ", 205 , 21 
Venezuela," 8,985 ", 756 ," 1,991 "," 4,663 ", 708 , 818 , 49 
Vietnam," 30,332 "," 15,884 ", 746 ," 13,550 ", 3 , 96 , 53 
Yemen," 1,636 ", 284 , D ," 1,083 ", 106 , 139 , D 
Zambia, 490 , 28 , 48 , 276 , 28 , 107 , 3 
Zimbabwe, 820 , 60 , 107 , 288 , 26 , 329 , 10 
All other countries, 75 , 12 , 9 , 42 , 8 , 4 , - 
Unknown," 10,256 ", 825 ," 1,943 "," 3,930 ", 221 ," 1,452 "," 1,885 "
